Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
0.552,Thu Oct 04 20:34:00 +0000 2018,0.0,0.737,0.263,0,@FoxNews
0.0,Thu Oct 04 20:28:05 +0000 2018,0.0,1.0,0.0,1,@FoxNews
-0.2263,Thu Oct 04 20:24:53 +0000 2018,0.174,0.826,0.0,2,@FoxNews
0.0,Thu Oct 04 20:19:03 +0000 2018,0.0,1.0,0.0,3,@FoxNews
0.0,Thu Oct 04 20:03:09 +0000 2018,0.0,1.0,0.0,4,@FoxNews
0.0,Thu Oct 04 19:30:41 +0000 2018,0.0,1.0,0.0,5,@FoxNews
-0.6369,Thu Oct 04 19:24:00 +0000 2018,0.271,0.729,0.0,6,@FoxNews
0.5267,Thu Oct 04 19:19:39 +0000 2018,0.0,0.779,0.221,7,@FoxNews
0.0,Thu Oct 04 19:11:18 +0000 2018,0.0,1.0,0.0,8,@FoxNews
0.0,Thu Oct 04 19:06:51 +0000 2018,0.0,1.0,0.0,9,@FoxNews
-0.5423,Thu Oct 04 19:03:19 +0000 2018,0.189,0.811,0.0,10,@FoxNews
-0.6597,Thu Oct 04 19:00:25 +0000 2018,0.299,0.701,0.0,11,@FoxNews
0.5574,Thu Oct 04 18:55:31 +0000 2018,0.0,0.847,0.153,12,@FoxNews
-0.6124,Thu Oct 04 18:51:56 +0000 2018,0.245,0.694,0.06,13,@FoxNews
0.0,Thu Oct 04 18:47:52 +0000 2018,0.0,1.0,0.0,14,@FoxNews
0.0,Thu Oct 04 18:45:00 +0000 2018,0.0,1.0,0.0,15,@FoxNews
0.3182,Thu Oct 04 18:42:50 +0000 2018,0.0,0.892,0.108,16,@FoxNews
0.0,Thu Oct 04 18:38:42 +0000 2018,0.0,1.0,0.0,17,@FoxNews
-0.4404,Thu Oct 04 18:34:53 +0000 2018,0.231,0.769,0.0,18,@FoxNews
0.4215,Thu Oct 04 18:30:56 +0000 2018,0.0,0.872,0.128,19,@FoxNews
0.509,Thu Oct 04 18:25:36 +0000 2018,0.074,0.737,0.189,20,@FoxNews
-0.3612,Thu Oct 04 18:21:06 +0000 2018,0.152,0.848,0.0,21,@FoxNews
0.0,Thu Oct 04 18:16:55 +0000 2018,0.0,1.0,0.0,22,@FoxNews
